Date,Open,High,Low,Close,Adj_Close,Volume,Day
2022-09-21,161,163.820007,159.029999,159.029999,154.671677,2809500,0
2022-09-22,158.240005,158.429993,152.639999,152.960007,148.768036,3984700,1
2022-09-23,151.949997,152.779999,149.710007,152.610001,148.427628,3796600,2
2022-09-26,151.559998,152.509995,147.369995,148.710007,144.634521,3967800,3
2022-09-27,150.470001,152.259995,146.860001,148.470001,144.401077,2941400,4
2022-09-28,149.539993,156.949997,149.309998,155.869995,151.598267,4254000,5
2022-09-29,154.199997,154.75,150.899994,151.789993,147.630096,3170400,6
2022-09-30,151.589996,152.229996,145.5,148.389999,144.323288,4328300,7
2022-10-03,149.669998,152.619995,148.389999,151.789993,147.630096,2847500,8
2022-10-04,154.699997,158.289993,154.339996,156.960007,152.658417,3028600,9
2022-10-05,155,157.550003,153.410004,156.410004,152.123505,2491700,10
2022-10-06,157.460007,159,155.479996,155.75,151.481567,2603400,11
2022-10-07,154.339996,154.520004,150.720001,152.339996,148.165024,2771900,12
2022-10-10,152.979996,153.880005,150.479996,153.100006,148.904205,2055800,13
2022-10-11,153.5,157.720001,152.710007,154.5,150.265823,2408100,14
2022-10-12,154.740005,157,154.039993,154.160004,149.93515,2265100,15
2022-10-13,151.210007,156.059998,148.869995,154.119995,149.89624,3393900,16
2022-10-14,154.479996,155.190002,145.190002,145.690002,141.697281,4762800,17
2022-10-17,147.740005,151,146.679993,149.25,145.159714,3177400,18
2022-10-18,155.529999,161.130005,155.009995,157.229996,152.921021,5563400,19
2022-10-19,157.190002,158.190002,154.130005,155.389999,151.131439,2611500,20
2022-10-20,155.979996,159.160004,153.419998,154.399994,150.168564,3079800,21
2022-10-21,154.539993,159.259995,154.300003,159.190002,154.827301,3508300,22
2022-10-24,160.300003,162.899994,159.630005,161.820007,157.385239,2974100,23
2022-10-25,162.800003,166.309998,161.990005,165.800003,161.256149,4177900,24
2022-10-26,167.839996,170.75,165.320007,166.770004,162.19957,3453500,25
2022-10-27,168.220001,170.300003,166.800003,166.899994,162.325989,2957400,26
2022-10-28,166.259995,167.940002,163.039993,167.520004,162.929001,3066800,27
2022-10-31,166,167.360001,164.020004,164.25,159.748611,3792500,28
2022-11-01,166.440002,166.979996,162.570007,164.589996,160.079285,3051000,29
2022-11-02,164.580002,165.889999,160.080002,160.199997,155.809616,3377900,30
2022-11-03,157.979996,160.789993,157.75,159.800003,155.420593,3041600,31
2022-11-04,162.410004,162.75,156.259995,159.630005,155.255234,2653500,32
2022-11-07,161.240005,161.410004,158,159.869995,155.488647,2424100,33
2022-11-08,161.320007,164.660004,159.809998,161.619995,157.190689,3284600,34
2022-11-09,161.080002,161.589996,152.5,152.990005,148.797226,4018400,35
2022-11-10,158.940002,164.550003,158.389999,164.380005,159.875061,4962900,36
2022-11-11,165.119995,174.830002,164.949997,173.320007,168.570053,5828300,37
2022-11-14,172.639999,176.800003,172.350006,173.259995,168.511703,5753800,38
2022-11-15,177,180.460007,176.899994,178.979996,175.166809,8606000,39
2022-11-16,149.850006,158.490005,148.75,155.470001,152.157715,36731500,40
2022-11-17,153.479996,162.179993,152.720001,162.009995,158.55838,11300500,41
2022-11-18,161.979996,164.699997,160,162.880005,159.409836,7280900,42
2022-11-21,161.080002,161.929993,156.770004,158.020004,154.653381,5964700,43
2022-11-22,158.789993,159.910004,155.75,157.860001,154.496796,6364100,44
2022-11-23,158.479996,164.139999,158.25,163.410004,159.928543,4833500,45
2022-11-25,163.5,163.960007,161.600006,163.380005,159.8992,1883000,46
2022-11-28,162.809998,166.889999,162.809998,165.369995,161.846771,4624100,47
2022-11-29,164.429993,166.970001,161.509995,166.369995,162.825485,5231700,48
2022-11-30,165.880005,167.229996,162.740005,167.070007,163.510574,11376700,49
2022-12-01,166.470001,167.429993,163.050003,165.029999,161.514023,4989200,50
2022-12-02,163.309998,164.860001,162.449997,164.160004,160.662582,3442900,51
2022-12-05,162.889999,162.889999,154.789993,154.929993,151.629211,6233200,52
2022-12-06,155.820007,156.679993,153.279999,155.050003,151.746658,4721800,53
2022-12-07,153.5,155.690002,153.389999,153.759995,150.484131,3685200,54
2022-12-08,154.039993,155.259995,153.169998,154.210007,150.924561,3107100,55
2022-12-09,153.410004,154.720001,152.119995,152.279999,149.035675,2905900,56
2022-12-12,150.5,150.679993,148.429993,150.029999,146.833603,4433800,57
2022-12-13,153.199997,154.100006,149.699997,150.869995,147.655701,4178900,58
2022-12-14,150.5,154.649994,150.139999,152.509995,149.260757,3749100,59
2022-12-15,149.860001,150,145.320007,147.600006,144.455383,5415500,60
2022-12-16,146.050003,147.660004,145.550003,146.449997,143.329865,8367000,61
2022-12-19,146.600006,147,143.559998,144.649994,141.568222,4186700,62
2022-12-20,142.899994,143.960007,142.449997,143.25,140.198059,3175400,63
2022-12-21,142.259995,144.190002,141.970001,142.300003,139.268311,3510200,64
2022-12-22,141.5,141.710007,139.679993,141.350006,138.338531,3846500,65
2022-12-23,140.860001,143.270004,139.880005,143.149994,140.100174,2464800,66
2022-12-27,143,146.279999,142.399994,145.550003,142.449051,3112500,67
2022-12-28,145.309998,147.220001,144.850006,145.800003,142.693726,2623200,68
2022-12-29,146.970001,149.660004,146.880005,148.369995,145.208969,2829000,69
2022-12-30,147.229996,149.080002,146.800003,149.039993,145.8647,2391100,70
2023-01-03,149.979996,152.639999,149.580002,151.729996,148.497391,3685200,71
2023-01-04,148.259995,154.320007,147.679993,152.720001,149.466309,4443300,72
2023-01-05,152.210007,154.509995,150.289993,154.259995,150.97348,3266000,73
2023-01-06,157.649994,161.059998,156.880005,160.149994,156.737976,4944200,74
2023-01-09,159.880005,160.369995,156.339996,156.350006,153.018967,3853800,75
2023-01-10,157.419998,157.539993,154.839996,155.970001,152.647064,2554900,76
2023-01-11,157.149994,159,155.899994,158.970001,155.583145,3146800,77
2023-01-12,160,160.25,156.479996,159.75,156.346527,3222600,78
2023-01-13,159.320007,164.929993,159.130005,164.600006,161.093201,5161200,79
2023-01-17,164.490005,165.690002,162.070007,162.100006,158.646454,3527900,80
2023-01-18,163.410004,165.190002,160.630005,160.830002,157.403519,2798100,81
2023-01-19,159.5,160.610001,157.529999,159.100006,155.710373,2881300,82
2023-01-20,159.630005,162.75,158.5,162.210007,158.75412,3122000,83
2023-01-23,162.210007,165.490005,161.350006,164.630005,161.122559,2371400,84
2023-01-24,169.820007,169.820007,163.259995,163.550003,160.065567,1902000,85
2023-01-25,162.5,164.210007,160.639999,164.210007,160.711502,2248200,86
2023-01-26,165.699997,167.100006,164.479996,167.029999,163.471436,2079100,87
2023-01-27,168,170.320007,166.789993,168.509995,164.919876,3850300,88
2023-01-30,167,169.589996,165.740005,168.679993,165.086243,3453500,89
2023-01-31,168.119995,172.220001,168.119995,172.139999,168.472549,3716000,90
2023-02-01,172.110001,177.679993,169.910004,177.080002,173.307312,4022200,91
2023-02-02,177.710007,181.699997,176.899994,181.020004,177.163376,4003800,92
2023-02-03,177.270004,179.070007,175.199997,176.759995,172.994125,2941600,93
2023-02-06,174.690002,175.380005,171.720001,173.839996,170.136322,2642700,94
2023-02-07,173.550003,175.440002,171.940002,174.759995,171.036728,2256700,95
2023-02-08,173.520004,173.970001,171.509995,171.789993,168.130005,2037000,96
2023-02-09,172.699997,174.020004,170.559998,171.369995,167.718948,1656100,97
2023-02-10,170.320007,171.199997,168.789993,170.020004,166.397736,1841400,98
2023-02-13,170.990005,173.5,170.330002,173.320007,169.627411,2432600,99
2023-02-14,171.550003,172.979996,168.839996,171.169998,168.573639,2418400,100
2023-02-15,170.009995,176.289993,169.949997,176.020004,173.350082,2954400,101
2023-02-16,174.199997,177.289993,173.770004,174.539993,171.892517,2318700,102
2023-02-17,173.350006,173.520004,170.889999,173.220001,170.592545,2678100,103
2023-02-21,169.520004,170.990005,166.169998,166.220001,163.69873,4133600,104
2023-02-22,165.600006,169.300003,165.199997,165.720001,163.206314,2941000,105
2023-02-23,165.899994,165.899994,161.869995,165.5,162.989639,2718500,106
2023-02-24,164.080002,167.429993,163,166.960007,164.427521,2888800,107
2023-02-27,168.669998,169.869995,165.479996,166.809998,164.279785,5245000,108
2023-02-28,168.729996,172.669998,167.100006,168.5,165.944138,10669300,109
2023-03-01,168.160004,168.399994,160.800003,162.399994,159.936661,5835700,110
2023-03-02,161.210007,165.990005,160.949997,165.940002,163.422974,2829200,111
2023-03-03,166.149994,166.210007,164.320007,166,163.482071,2318600,112
2023-03-06,166.589996,166.759995,164.520004,165.199997,162.694183,2220900,113
2023-03-07,165.830002,166.619995,162.580002,162.820007,160.350296,2410800,114
2023-03-08,162.899994,163.729996,162.169998,163.509995,161.029816,1752700,115
2023-03-09,164.309998,164.699997,160.470001,160.639999,158.203354,1872200,116
2023-03-10,160.270004,161.869995,157.509995,158.179993,155.78067,2754200,117
2023-03-13,156.320007,160.729996,156.229996,157.919998,155.524612,2342500,118
2023-03-14,159.770004,160.320007,156.550003,158.369995,155.967789,2574200,119
2023-03-15,156.330002,159.860001,156.100006,159.130005,156.716278,2633900,120
2023-03-16,157.550003,163.240005,157.229996,163.050003,160.576813,2510100,121
2023-03-17,162.729996,163.460007,158.289993,159.360001,156.94278,13175000,122
2023-03-20,159.369995,163.369995,159.259995,163.240005,160.763931,2875800,123
2023-03-21,164.229996,164.770004,161.479996,162.710007,160.241974,2497200,124
2023-03-22,162.899994,163.110001,157.369995,157.470001,155.081451,2909900,125
2023-03-23,158.75,159.240005,154.449997,156.119995,153.751923,2791700,126
2023-03-24,154.720001,156.570007,152.679993,156.220001,153.850418,2703700,127
2023-03-27,157.339996,160.039993,156.479996,159.380005,156.962479,3078700,128
2023-03-28,159.050003,161.259995,158.100006,159.770004,157.346573,2910600,129
2023-03-29,160.889999,161,155.919998,158.110001,155.711746,4219400,130
2023-03-30,159.800003,161.410004,159.669998,160.270004,157.838974,2237400,131
2023-03-31,161.5,165.830002,160.949997,165.630005,163.117676,3094100,132
2023-04-03,166.399994,167.960007,165.330002,166.059998,163.541138,2744400,133
2023-04-04,165.710007,167.020004,164.949997,166.050003,163.531311,2350500,134
2023-04-05,165.800003,166.990005,164.059998,165.240005,162.733597,2762100,135
2023-04-06,162.570007,165.839996,160.679993,165.580002,163.068436,2552900,136
